АБАЖУР 	Колпак для лампы, светильника
АНТИЛОПЫ 	Название разных видов парнокопытных жвачных млекопитающих сем. полорогих (серны, сайгаки, джейраны и др.)
АНТИМИРЫ 	Совокупность форм материи, противоположных вещественному миру(в 1 знач.), Вселенной
АНТИНОМИЯ 	Противоречие между двумя взаимоисключаемыми положениями, сущностями, явлениями, каждое из к-рых доказуемо логическим путем, существует в отдельности
АНТИПАТИЯ 	Чувство неприязни, нерасположения к кому-н
АНТИПОД 	Человек, противоположный кому-н. по убеждениям, свойствам, вкусам (книжн.)
АНТИСАНИТАРИЯ 	Антисанитарное состояние
АНТИСЕМИТ 	Сторонник антисемитизма
АНТИСЕМИТИЗМ 	Одна из форм национальной нетерпимости враждебное отношение к евреям
АНТИСЕПТИК 	Обезза раживающее средство
АНТИСЕПТИКА 	Обеззараживание ран, воспаленных тканей
АНТИСОВЕТИЗМ 	Агитационная деятельность и пропаганда, направленная против СССР
АНТИТЕЗА 	Стилистическая фигура, основанная на резком противопоставлении, противоположности образов и понятий (спец.)
АНТИТЕЗИС 	В логике: суждение, противопоставляемое другому суждению (тезису)
АНТИТЕЛА 	Сложные белки - вещества, образующиеся в организме при введении в него чужеродных веществ и нейтрализующие их вредное действие
АНТИФАШИСТ 	Враг фашизма, борец против фашизма
АНТИХРИСТ 	В христианской мифологии: противник Христа, к-рый должен явиться перед концом света
АНТИЦИКЛОН 	Область устойчивого повышенного атмосферного давления
АНТИЧНОСТЬ 	Древний греков римский мир и его культура
АНТОЛОГИЯ 	Сборник избранных художественных произведений разных авторов
АНТОНИМ 	В языкознании: слово, противоположное по значению другому слову, напр. "светлый" и "темный" - антонимы
АНТОНИМИЯ 	В языкознании: отношения, существующие между антонимами
АНТРАЦИТ 	Каменный уголь высшего качества
АНТРАША 	Прыжок в балетных танцах, при к-ром танцующий ударяет несколько раз ногой об ногу
АНТРЕПРЕНЕР 	Частный театральный предприниматель
АНТРЕСОЛИ 	Верхний полуэтаж дома
АНТРОПОЛОГ 	Специалист по антропологии
